"","d","a","b","cmgnl"
"1",0.761906657877099,33,35,0.998285450296795
"2",0.74483258209072,35,33,0.998285450296795
"3",0.698173452982009,17,23,0.965273483554193
"4",0.697700029878635,33,23,-0.551537027944642
"5",0.669988876406985,33,31,0.983438076012867
"6",0.664314858129939,23,17,0.965273483554193
"7",0.650398255769379,3,23,-0.573339967459004
"8",0.64297804282235,35,23,-0.517903316840327
"9",0.629908691538339,31,33,0.983438076012867
"10",0.626808732223966,33,27,0.986199483239278
"11",0.620078975837234,7,13,0.956867911987004
"12",0.618263897901171,13,7,0.956867911987004
"13",0.616922291333573,7,23,0.969882376323906
"14",0.615662285066173,2,22,-0.0235878335514113
"15",0.61276048348777,23,33,-0.551537027944642
"16",0.608209759556534,12,16,0.99228189537244
"17",0.607656617387758,13,23,0.934774321985638
"18",0.588340053354541,16,12,0.99228189537244
"19",0.588260159004656,33,17,-0.337872834442925
"20",0.587024901225113,27,25,0.956700186053597
"21",0.582570139533056,31,23,-0.439466960583425
"22",0.581536333120307,3,7,-0.520187637302193
"23",0.580811036369195,27,23,-0.419801475688022
"24",0.578846544546013,27,33,0.986199483239278
"25",0.575548462126336,21,23,0.0880188151526849
"26",0.575350477172055,23,7,0.969882376323906
"27",0.572762091763035,22,2,-0.0235878335514113
"28",0.569264613509989,23,13,0.934774321985638
"29",0.565452769451471,35,31,0.990115411587723
"30",0.564466142722522,19,23,-0.161019918300816
"31",0.564341517081296,9,23,0.945407121875106
"32",0.560644936407439,33,29,0.511206179689601
"33",0.555601397305414,23,35,-0.517903316840327
"34",0.554946606390375,13,17,0.975683834213579
"35",0.554617538056023,35,27,0.992928630032533
"36",0.554100728326446,23,3,-0.573339967459004
"37",0.553344237292456,33,9,-0.252550916123244
"38",0.550803667178062,29,23,0.359950386247174
"39",0.548665729142003,3,13,-0.293951732163232
"40",0.544704123630924,33,16,-0.562614637357273
"41",0.543256946036341,17,13,0.975683834213579
"42",0.541531020006091,33,7,-0.45832948868695
"43",0.54120651040406,33,1,0.0347390660825731
"44",0.541135287276901,31,27,0.996921363285163
"45",0.539935331107372,16,23,0.994013017798244
"46",0.538727443593458,31,35,0.990115411587723
"47",0.538409238408288,15,23,-0.404232213596567
"48",0.537247123709166,33,13,-0.228484045736274
"49",0.536399494808561,25,27,0.956700186053597
"50",0.532503079516728,3,17,-0.408755341221003
"51",0.532434489523922,27,31,0.996921363285163
"52",0.531111483913132,15,9,-0.0881078873346984
"53",0.523480637005227,25,23,-0.162911511416635
"54",0.523308456844404,33,25,0.896308178426703
"55",0.520468481261357,35,17,-0.300096343710773
"56",0.52022927588419,5,23,0.908692153613063
"57",0.51959724264281,27,35,0.992928630032533
"58",0.518409556316783,12,23,0.975416490401544
"59",0.518359509791412,33,12,-0.623277073096004
"60",0.517595779879094,3,9,-0.296239573277931
"61",0.515938809839626,23,27,-0.419801475688022
"62",0.514865705922053,7,3,-0.520187637302193
"63",0.514090132852484,23,9,0.945407121875106
"64",0.514071796899985,27,9,-0.101478667653819
"65",0.513904848598257,23,31,-0.439466960583425
"66",0.507863200936694,17,33,-0.337872834442925
"67",0.506328837746206,23,19,-0.161019918300816
"68",0.502801010967755,7,17,0.940780014891409
"69",0.502392347735171,5,7,0.933806090657005
"70",0.502232037800702,23,16,0.994013017798244
"71",0.502027880783341,23,29,0.359950386247174
"72",0.501181773049611,35,16,-0.533642519061386
"73",0.500311183799698,27,17,-0.197466898964287
"74",0.497233004553453,10,26,0.00400521121329396
"75",0.496723210943523,5,13,0.996322623387846
"76",0.493300709812941,1,23,0.802219035506176
"77",0.492623057398486,31,17,-0.228959425506217
"78",0.492549153702845,27,1,0.18057385870999
"79",0.492311964438073,31,9,-0.123935094569602
"80",0.491803370780712,19,17,0.0960274050078153
"81",0.490079609991194,33,19,0.875315787881274
"82",0.488331326489894,17,7,0.940780014891409
"83",0.487045991448495,9,33,-0.252550916123244
"84",0.485313575998207,7,33,-0.45832948868695
"85",0.484547221588272,35,29,0.539878688150287
"86",0.484542376932483,26,23,0.898480220882559
"87",0.484198682790614,35,9,-0.212777343604989
"88",0.479652451522797,15,27,0.98785490319499
"89",0.479589621588057,33,26,-0.304604017692339
"90",0.478606612870041,33,15,0.962903732668256
"91",0.477941294376383,27,15,0.98785490319499
"92",0.476613301080055,30,36,0
"93",0.476601153432021,35,1,0.0701667260405166
"94",0.475443075920742,9,15,-0.0881078873346984
"95",0.47536702922022,35,7,-0.431482091824647
"96",0.474246126044318,9,17,0.985205033257659
"97",0.474003322910694,33,36,0
"98",0.472360791542257,3,33,0.913519163417598
"99",0.471148588012492,11,23,0.877435489045818
"100",0.470818407528824,35,25,0.91766144504794
"101",0.47075085300856,9,27,-0.101478667653819
"102",0.469720184948095,11,13,0.986109299689801
"103",0.468796889124188,19,13,0.15278487123585
"104",0.468209573246444,35,12,-0.600354094000841
"105",0.468124019700288,35,13,-0.192825123835821
"106",0.468082225066495,23,12,0.975416490401544
"107",0.467701825122888,33,5,-0.157797960907727
"108",0.465540927078937,6,16,-0.465095807772865
"109",0.464345813303836,5,17,0.970736799977833
"110",0.463575705612664,19,9,0.147654392753648
"111",0.460977350120668,26,16,0.8955372430956
"112",0.460798953474229,23,15,-0.404232213596567
"113",0.459555268337131,7,5,0.933806090657005
"114",0.459095791673942,23,1,0.802219035506176
"115",0.459086367431715,3,19,0.744322915149943
"116",0.458910050237634,1,33,0.0347390660825731
"117",0.458605913137372,11,17,0.959981618965672
"118",0.455561892802399,13,3,-0.293951732163232
"119",0.454425503524043,6,26,-0.244787324890784
"120",0.45398810197882,13,33,-0.228484045736274
"121",0.452109041348014,25,33,0.896308178426703
"122",0.451797507666397,9,13,0.996074838588806
"123",0.451707654192079,23,5,0.908692153613063
"124",0.451702894723787,33,3,0.913519163417598
"125",0.451517659785385,31,13,-0.10255074429311
"126",0.451147649093735,15,1,0.192360507199122
"127",0.45112213592269,33,21,0.740485237532557
"128",0.450970568577401,13,5,0.996322623387846
"129",0.450621005053416,23,25,-0.162911511416635
"130",0.449933325626753,31,1,0.165540656447615
"131",0.449787832232687,34,23,-0.574560176350103
"132",0.449706520277904,32,36,0
"133",0.449200024005789,15,17,-0.20081491518384
"134",0.446839682741126,15,33,0.962903732668256
"135",0.446735726399271,17,9,0.985205033257659
"136",0.445924353765405,33,28,-0.414742984863602
"137",0.445809109307503,19,7,-0.124541381016082
"138",0.444527673266987,31,29,0.558843783198544
"139",0.444415673913163,9,31,-0.123935094569602
"140",0.444352795516246,33,11,-0.0912352697461202
"141",0.44228490932476,2,16,-0.547687456206428
"142",0.442139638203777,5,11,0.996779009679574
"143",0.441894555649977,31,7,-0.342693632290744
